,nombre,domicilio,alcaldia,latitud,longitud,Colonia name,nivel escolar
113,Preescolar General - Acaxochitl,"John F. Kennedy S/N, Colonia Ampliacion Presidentes, Delegacion Alvaro Obregon, Mexico Df.",Álvaro Obregón,19.37545455352501,-99.22482768786726,Presidentes 1ra (Ampl),Preescolar
114,Primaria General - Guadalupe Victoria,"Felipe Villanueva No 18, Colonia Guadalupe Inn, Delegacion Alvaro Obregon, Mexico Df",Álvaro Obregón,19.35983439807186,-99.18728960207297,Guadalupe Inn,Primaria
115,Primaria General - Republica De Hungria,"Gloria Y Girasol, Juan Gonzalez Romero, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.50610570423,-99.08935267422,Juan Gonzalez Romero,Primaria
116,Primaria General - Juan Escutia,"El Balcon S/N, Colonia Tetelpan, Delegacion Alvaro Obregon, Mexico Df.",Álvaro Obregón,19.34430499994365,-99.22605199994706,Tetelpan (Pblo),Primaria
117,Primaria General - Mtra. Guadalupe Nuñez Y Parra,"Calz Misterios No 795, Gustavo A. Madero, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.48430999987,-99.11907799989,Tepeyac Insurgentes,Primaria
118,Primaria General - Alfonso Pruneda,"Av Ixtacala Y Eje 1 Poniente, Santa Rosa, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.52786253717,-99.17004175905,Santa Rosa,Primaria
119,Primaria General - Profra. Aurora Lopez Velarde Berumen,"Periferico Sur No 7666, Granjas Coapa, Delegacion Tlalpan, Mexico Df.",Tlalpan,19.29161699978,-99.11022699979,Coapa-Villa Cuemanco,Primaria
120,Preescolar General - Miguel Hidalgo,"Av De Las Torres Y Jesus Lecuona, Miguel Hidalgo, Delegacion Tlahuac, Mexico Df.",Tlalpan,19.2853153119,-99.1958899799,Ampliacion Miguel Hidalgo 2a Secc,Preescolar
121,Secundaria General - Juventino Rosas Cadenas,"Tarascos Frente A Chontales, Tlalcoligia, Delegacion Tlalpan, Mexico Df.",Tlalpan,19.27668839314,-99.17415839564,Tlalcoligia,Secundaria
122,Escuela Secundaria Tecnica 40,"Av Del Riego S/N, Villa Coapa, Delegacion Tlalpan, Mexico Df.",Tlalpan,19.2932623039,-99.11894767246,Narciso Mendoza Villa Coapa Supermanzana 8 (U Hab),Secundaria
123,Primaria General - Juan Jacobo Rousseau,"Iztaccihuatl Y Los Pinos No 90, La Pradera, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.4794399999,-99.06680300003,La Pradera,Primaria
124,Preescolar General - Silvina Jardon,"Privada Rosas Moreno No 15, Santiago Ahuizotla, Delegacion Azcapotzalco, Mexico Df.",Azcapotzalco,19.4796350000068,-99.21237800031832,Santiago Ahuizotla (Pblo),Preescolar
125,Escuela Secundaria Tecnica 85,"Camino A Cuautepec Y Chalmita, El Arbolillo, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.527051999919,-99.1421249999,Jorge Negrete,Secundaria
126,Preescolar General - Amantecatl,"Democracias No 46, Pueblo San Miguel Amantla, Delegacion Azcapotzalco, Mexico Df.",Azcapotzalco,19.47398499996309,-99.20483399994512,San  Miguel Amantla (Pblo),Preescolar
127,Primaria General - Santiago R. De La Vega,"Prolg Bolivar No 1101, Periodistas, Delegacion Benito Juarez, Mexico Df..",Benito Juárez,19.38240500011318,-99.14613300003704,Periodista Francisco Zarco,Primaria
128,Primaria General - Martires De La Libertad,"Av Azcapotzalco No 574, Azcapotzalco, Delegacion Azcapotzalco, Mexico Df.",Azcapotzalco,19.47928700008749,-99.1871100002866,Centro De Azcapotzalco,Primaria
129,Primaria General - Vidal Rivero,"Prolg Cipres No 601, Del Gas, Delegacion Azcapotzalco, Mexico Df.",Azcapotzalco,19.46751955571641,-99.15429328087536,Arenal,Primaria
130,"Intervencion Temprana, Preescolar, Primaria Y Capacitacion Laboral Especial - Centro De Atencion Multiple 40  M","Melchor Ocampo No  1, Santo Tomas Ajusco, Delegacion Tlahuac, Mexico Df.",Tlalpan,19.21983599994,-99.20532800004,Santo Tomas Ajusco (Pblo),Primaria
131,Preescolar General - Cadi Juan N. Alvarez,"Av. Rio Churubusco Esq. Canela S/N, Granjas Mexico, Delegacion Iztacalco, Mexico Df.",Iztacalco,19.39744806835,-99.09834836676,Granjas Mexico Ii,Preescolar
132,Primaria General - Roberto Medellin,"Av Emiliano Zapata No 30, Pueblo San Nicolas Tetelco, Delegacion Tlahuac, Mexico Df.",Tláhuac,19.21782000018,-98.97226399994,San Nicolas Tetelco (Pblo),Primaria
133,Preescolar General - Susan Bluw Grimsly,"Calle Uno No 181, Pantitlan, Delegacion Iztacalco, Mexico Df.",Iztacalco,19.41435100021,-99.06866300002,Pantitlan Iii,Preescolar
