_id,expediente,pueblo,scall_col,territorial,fecha_instalacion,capacidad,alcaldia,colonia_datos,latitud,longitud
11839,1324-NOCRRA-TLC-22,PUEBLO SAN FRANCISCO TLALTENCO,SAN FRANCISCO TLALTENCO,NO APLICA,2022-10-11T00:00:00,2500,TLAHUAC,SAN FRANCISCO TLALTENCO (PBLO),19.292777,-99.018724
11840,8662-MAMAAN-MIA-22,VILLA MILPA ALTA,BARRIO SANTA CRUZ-MIA,NO APLICA,2022-11-22T00:00:00,1100,MILPA ALTA,VILLA MILPA ALTA (PBLO),19.202801,-99.015355
11841,8663-CAALVA-MIA-22,PUEBLO SAN LORENZO TLACOYUCAN,NO APLICA,NO APLICA,2022-10-01T00:00:00,2500,MILPA ALTA,SAN LORENZO TLACOYUCAN (PBLO),19.176511,-99.029799
11842,4244-ARCAGU-TLN-22,PUEBLO SAN MIGUEL AJUSCO,NO APLICA,NO APLICA,2022-10-29T00:00:00,2500,TLALPAN,JARDINES DE SAN JUAN,19.218683,-99.194448
11843,1325-ROMANO-TLC-22,PUEBLO SAN FRANCISCO TLALTENCO,SAN FRANCISCO TLALTENCO,NO APLICA,2022-10-05T00:00:00,2500,TLAHUAC,SAN FRANCISCO TLALTENCO (PBLO),19.29775,-99.011894
11844,8665-GOTOAM-MIA-22,PUEBLO SAN JERONIMO MIACATLAN,NO APLICA,NO APLICA,2022-11-16T00:00:00,2500,MILPA ALTA,SAN JERONIMO MIACATLAN (PBLO),19.189115,-99.005192
11845,4245-AGMOMA-TLN-22,PUEBLO SAN MIGUEL TOPILEJO,NO APLICA,NO APLICA,2022-10-28T00:00:00,2500,TLALPAN,SAN MIGUEL TOPILEJO (PBLO),19.203751,-99.147645
11846,1088-ROAGJO-GUO-22,NO APLICA,JUAN GONZALEZ ROMERO,NO APLICA,2022-11-22T00:00:00,1100,GUSTAVO A. MADERO,JUAN GONZALEZ ROMERO,19.50875,-99.0903
11847,355-DILOVE-XOO-22,PBO. SAN FRANCISCO TLALNEPANTLA,NO APLICA,NO APLICA,2022-10-29T00:00:00,2500,XOCHIMILCO,SAN FRANCISCO TLALNEPANTLA (PBLO),19.199659,-99.122564
11848,356-MEGAAL-XOO-22,PBO. SAN FRANCISCO TLALNEPANTLA,NO APLICA,NO APLICA,2022-10-19T00:00:00,2500,XOCHIMILCO,SAN FRANCISCO TLALNEPANTLA (PBLO),19.19788,-99.12297
11849,1326-CHVIJO-TLC-22,PUEBLO SAN FRANCISCO TLALTENCO,SAN FRANCISCO TLALTENCO,NO APLICA,2022-10-29T00:00:00,2500,TLAHUAC,SAN FRANCISCO TLALTENCO (PBLO),19.29433,-99.018147
11850,1093-BRFIFL-GUO-22,NO APLICA,25 DE JULIO,NO APLICA,2022-10-21T00:00:00,1100,GUSTAVO A. MADERO,25 DE JULIO,19.494138,-99.080407
11851,1327-BAOLCA-TLC-22,PUEBLO SAN FRANCISCO TLALTENCO,SELENE,NO APLICA,2022-10-31T00:00:00,2500,TLAHUAC,SELENE 1a SECC,19.289853,-99.001522
11852,1094-GOJIDI-GUO-22,NO APLICA,25 DE JULIO,NO APLICA,2022-11-11T00:00:00,1100,GUSTAVO A. MADERO,25 DE JULIO,19.493683,-99.081207
11853,1328-PESALE-TLC-22,PUEBLO SAN FRANCISCO TLALTENCO,SELENE,NO APLICA,2022-11-23T00:00:00,2500,TLAHUAC,SELENE 1a SECC,19.292281,-99.002781
11854,1096-VAARIS-GUO-22,NO APLICA,25 DE JULIO,NO APLICA,2022-10-15T00:00:00,2500,GUSTAVO A. MADERO,25 DE JULIO,19.49368,-99.081183
11855,1329-SOGASA-TLC-22,PUEBLO SAN FRANCISCO TLALTENCO,SELENE,NO APLICA,2022-10-04T00:00:00,2500,TLAHUAC,SELENE 2da SECC,19.2875,-99.002139
11856,1098-VARAIS-GUO-22,NO APLICA,AMPL. PROVIDENCIA,NO APLICA,2022-11-24T00:00:00,1100,GUSTAVO A. MADERO,PROVIDENCIA (AMPL),19.480535,-99.067215
