"long","lat","Expediente","Pueblo","Colonia_Ba","Territoria","Alcaldia","Fecha_de_I","Instalado"
-98.970728,19.32721,"2590-SASAAS-IZA-20","NO APLICA","CAMPESTRE POTRERO","TEOTONGO ACAHUALTEPC","IZTAPALAPA",2020-10-10,"Programa SCALL"
-99.030775,19.331382,"2591-CATZVE-IZA-20","NO APLICA","BUENAVISTA","SANTA CATARINA","IZTAPALAPA",2020-10-05,"Programa SCALL"
-99.018085,19.357195,"2592-PAGUOD-IZA-20","NO APLICA","PARAJE ZACATEPEC","AZTAHUACAN","IZTAPALAPA",2020-11-13,"Programa SCALL"
-99.034482,19.323923,"2595-PIRERA-IZA-20","NO APLICA","SAN JOSE BUENAVISTA","SANTA CATARINA","IZTAPALAPA",2020-11-02,"Programa SCALL"
-99.058469,19.322441,"2599-ESCAMA-IZA-20","NO APLICA","CONSEJO AGRARISTA","LOS ANGELES AGRARISTA","IZTAPALAPA",2020-10-12,"Programa SCALL"
-99.066731,19.295997,"2600-LUBEPA-IZA-20","NO APLICA","EL MOLINO TEZONCO","SAN LORENZO TEZONCO","IZTAPALAPA",2020-10-31,"Programa SCALL"
-99.072033,19.289234,"2601-PARUGE-IZA-20","NO APLICA","CELOALLIOTLI (U HAB)","SAN LORENZO TEZONCO","IZTAPALAPA",2020-11-06,"Programa SCALL"
-99.056753,19.320315,"2602-CAGOSA-IZA-20","NO APLICA","CONSEJO AGRARISTA","LOS ANGELES AGRARISTA","IZTAPALAPA",2020-11-03,"Programa SCALL"
-99.0652,19.294981,"2603-GACEAR-IZA-20","NO APLICA","LA PLANTA","SAN LORENZO TEZONCO","IZTAPALAPA",2020-09-26,"Programa SCALL"
-99.001381,19.338993,"2605-PALORA-IZA-20","NO APLICA","MIGUEL DE LA MADRID","TEOTONGO ACAHUALTEPC","IZTAPALAPA",2020-11-17,"Programa SCALL"
-99.065487,19.317117,"2606-COBEBE-IZA-20","NO APLICA","LOMAS DE SAN LORENZO","SAN LORENZO TEZONCO","IZTAPALAPA",2020-10-02,"Programa SCALL"
-99.065424,19.317186,"2607-COBEVI-IZA-20","NO APLICA","LOMAS DE SAN LORENZO","SAN LORENZO TEZONCO","IZTAPALAPA",2020-10-01,"Programa SCALL"
-98.999538,19.336921,"2609-CAREGU-IZA-20","NO APLICA","MIRAVALLES","TEOTONGO ACAHUALTEPC","IZTAPALAPA",2020-10-29,"Programa SCALL"
-99.027462,19.334813,"2610-HEHESI-IZA-20","NO APLICA","PALMITAS","SANTA CATARINA","IZTAPALAPA",2020-10-30,"Programa SCALL"
-99.007629,19.362818,"2611-GUSEJO-IZA-20","NO APLICA","SANTA MARTHA ACATITLA","ACATITLA DE ZARAGOZA","IZTAPALAPA",2020-10-07,"Programa SCALL"
-99.047095,19.326995,"2612-HEBAMA-IZA-20","NO APLICA","DESARROLLO URBANO QUETZALCOATL","SANTA CRUZ QUETZALCOATL","IZTAPALAPA",2020-11-03,"Programa SCALL"
-99.070994,19.317502,"2613-RIPAMA-IZA-20","NO APLICA","LOMAS DE SAN LORENZO","SAN LORENZO TEZONCO","IZTAPALAPA",2020-10-12,"Programa SCALL"
