alcaldia,latitud,longitud,alcaldia_id,año
Tlalpan,19.216815,-99.197711,12,2022
Iztapalapa,19.344409,-99.002844,7,2022
Tlalpan,19.213038,-99.198934,12,2022
Tlalpan,19.240369,-99.146661,12,2022
Milpa Alta,19.174002,-99.031992,9,2022
Iztapalapa,19.341694,-99.003252,7,2022
Tlalpan,19.215044,-99.207812,12,2022
Tlalpan,19.234639,-99.180052,12,2022
Tlalpan,19.223318,-99.20665,12,2022
Gustavo A. Madero,19.561838,-99.136833,5,2022
Tlalpan,19.231231,-99.179621,12,2022
Milpa Alta,19.179719,-99.033587,9,2022
Tlalpan,19.219369,-99.205206,12,2022
Milpa Alta,19.179719,-99.033587,9,2022
Tlalpan,19.240423,-99.146474,12,2022
Milpa Alta,19.175706,-99.028866,9,2022
Milpa Alta,19.176875,-99.034925,9,2022
Tlalpan,19.219425,-99.205883,12,2022
Tlalpan,19.260818,-99.187454,12,2022
Milpa Alta,19.175272,-99.03337,9,2022
Milpa Alta,19.176517,-99.030863,9,2022
Iztapalapa,19.344239,-98.996574,7,2022
Tlalpan,19.222892,-99.206605,12,2022
Milpa Alta,19.176542,-99.033158,9,2022
Tlalpan,19.221253,-99.208854,12,2022
Tlalpan,19.222661,-99.206692,12,2022
Milpa Alta,19.173188,-99.030533,9,2022
Tlalpan,19.231468,-99.164577,12,2022
Gustavo A. Madero,19.535793,-99.137779,5,2022
Tlalpan,19.222387,-99.201692,12,2022
Tlalpan,19.222935,-99.20654,12,2022
Tlalpan,19.234245,-99.180141,12,2022
Tlalpan,19.268496,-99.242709,12,2022
Milpa Alta,19.200169,-99.049538,9,2022
Tlalpan,19.222286,-99.196439,12,2022
Tlalpan,19.218922,-99.210761,12,2022
Tlalpan,19.259661,-99.186111,12,2022
Tlalpan,19.219269,-99.206307,12,2022
Milpa Alta,19.17897,-99.069847,9,2022
Milpa Alta,19.176562,-99.03135,9,2022
Milpa Alta,19.197018,-99.050729,9,2022
Tlalpan,19.236251,-99.164192,12,2022
Tlalpan,19.224151,-99.207483,12,2022
